schema_version,sequence,scenario,source,event_timestamp_ns,elapsed_ns,device_id,device_product,vendor_id,product_id,usage_page,usage,report_id,hid_value,hid_logical_min,hid_logical_max,line_delta_y,line_delta_x,fixed_delta_y,fixed_delta_x,point_delta_y,point_delta_x,raw_delta_y,raw_delta_x,accelerated_delta_y,accelerated_delta_x,is_continuous,scroll_phase,momentum_phase,scroll_count
1,113,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,114,timing-diagnostic-agent-off,hid,13090383338083,569379417,4341105712,MX Master 3 Mac,1133,45091,1,56,2,0,-127,127,,,,,,,,,,,,,,
1,115,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,116,timing-diagnostic-agent-off,hid,13090383338083,569379417,4341105712,MX Master 3 Mac,1133,45091,1,56,2,0,-127,127,,,,,,,,,,,,,,
1,117,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,118,timing-diagnostic-agent-off,hid,13090383338083,569379417,4341105712,MX Master 3 Mac,1133,45091,1,56,2,0,-127,127,,,,,,,,,,,,,,
1,119,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,120,timing-diagnostic-agent-off,hid,13090546529375,732570709,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,121,timing-diagnostic-agent-off,cgevent,314173116705,0,,,,,,,,,,,1,0,0.100006,0.000000,1,0,0,0,0,0,0,0,0,0
1,122,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,123,timing-diagnostic-agent-off,hid,13090570794416,756835750,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,124,timing-diagnostic-agent-off,cgevent,314173699066,0,,,,,,,,,,,2,0,2.599411,0.000000,26,0,0,0,0,0,0,0,0,0
1,125,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,126,timing-diagnostic-agent-off,hid,13090577898666,763940000,4341105712,MX Master 3 Mac,1133,45091,1,56,2,0,-127,127,,,,,,,,,,,,,,
1,127,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,128,timing-diagnostic-agent-off,hid,13090585708208,771749542,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,129,timing-diagnostic-agent-off,cgevent,314174056997,0,,,,,,,,,,,7,0,7.148621,0.000000,72,0,0,0,0,0,0,0,0,0
1,130,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,131,timing-diagnostic-agent-off,hid,13090600846833,786888167,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-4,-127,127,,,,,,,,,,,,,,
1,132,timing-diagnostic-agent-off,cgevent,314174420324,0,,,,,,,,,,,9,0,9.740555,0.000000,98,0,0,0,0,0,0,0,0,0
1,133,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,134,timing-diagnostic-agent-off,hid,13090607986916,794028250,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,135,timing-diagnostic-agent-off,cgevent,314174591686,0,,,,,,,,,,,10,0,10.413635,0.000000,105,0,0,0,0,0,0,0,0,0
1,136,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,137,timing-diagnostic-agent-off,hid,13090615793458,801834792,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,138,timing-diagnostic-agent-off,cgevent,314174779043,0,,,,,,,,,,,10,0,10.947083,0.000000,110,0,0,0,0,0,0,0,0,0
1,139,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,140,timing-diagnostic-agent-off,hid,13090622807416,808848750,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,141,timing-diagnostic-agent-off,cgevent,314174947378,0,,,,,,,,,,,11,0,11.426086,0.000000,115,0,0,0,0,0,0,0,0,0
1,142,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,143,timing-diagnostic-agent-off,hid,13090644795041,830836375,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-3,-127,127,,,,,,,,,,,,,,
1,144,timing-diagnostic-agent-off,cgevent,314175475081,0,,,,,,,,,,,12,0,12.028366,0.000000,121,0,0,0,0,0,0,0,0,0
1,145,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,146,timing-diagnostic-agent-off,hid,13090661002375,847043709,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-4,-127,127,,,,,,,,,,,,,,
1,147,timing-diagnostic-agent-off,cgevent,314175864057,0,,,,,,,,,,,13,0,13.788452,0.000000,138,0,0,0,0,0,0,0,0,0
1,148,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,149,timing-diagnostic-agent-off,hid,13090675912208,861953542,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-2,-127,127,,,,,,,,,,,,,,
1,150,timing-diagnostic-agent-off,cgevent,314176221893,0,,,,,,,,,,,13,0,13.875900,0.000000,139,0,0,0,0,0,0,0,0,0
1,151,timing-diagnostic-agent-off,hid,12096743804166,0,4341105712,MX Master 3 Mac,1133,45091,12,568,2,0,-127,127,,,,,,,,,,,,,,
1,152,timing-diagnostic-agent-off,hid,13090690677958,876719292,4341105712,MX Master 3 Mac,1133,45091,1,56,2,-3,-127,127,,,,,,,,,,,,,,
1,153,timing-diagnostic-agent-off,cgevent,314176576271,0,,,,,,,,,,,14,0,14.218262,0.000000,143,0,0,0,0,0,0,0,0,0
